"_id","created_on","date_time","node_id","ppl_in","ppl_out"
"ObjectId(""5974d8a5901f02000e004d97"")","ISODate(""2017-07-24T01:11:00.000+08:00"")","1500831801809","101","0","0"
"ObjectId(""5974d8b6901f02000e004d99"")","ISODate(""2017-07-24T01:11:00.000+08:00"")","1500831819098","110","0","0"
"ObjectId(""5974d8ea901f02000e004d9c"")","ISODate(""2017-07-24T01:12:00.000+08:00"")","1500831872063","99","0","0"
"ObjectId(""5974d94b901f02e00d004cce"")","ISODate(""2017-07-24T01:13:00.000+08:00"")","1500831968288","114","0","0"
"ObjectId(""5974d952901f02000e004da0"")","ISODate(""2017-07-24T01:13:00.000+08:00"")","1500831974368","109","0","0"
"ObjectId(""5974d978901f022c0e00841d"")","ISODate(""2017-07-24T01:14:00.000+08:00"")","1500832013060","112","0","0"
"ObjectId(""5974d98f901f022c0e00841e"")","ISODate(""2017-07-24T01:14:00.000+08:00"")","1500832036503","111","0","0"
"ObjectId(""5974d9d0901f022c0e008421"")","ISODate(""2017-07-24T01:16:00.000+08:00"")","1500832101880","101","0","0"
"ObjectId(""5974d9e1901f02000e004dac"")","ISODate(""2017-07-24T01:16:00.000+08:00"")","1500832119225","110","0","0"
"ObjectId(""5974da17901f022c0e008426"")","ISODate(""2017-07-24T01:17:00.000+08:00"")","1500832172137","99","0","0"
"ObjectId(""5974da77901f02000e004db8"")","ISODate(""2017-07-24T01:18:00.000+08:00"")","1500832268348","114","0","0"
"ObjectId(""5974da7d901f022c0e008429"")","ISODate(""2017-07-24T01:18:00.000+08:00"")","1500832274461","109","0","0"
"ObjectId(""5974f6d5901f02000e004db9"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500838338411","111","0","0"
"ObjectId(""5974f6d5901f02dc0d0051f0"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500834572721","99","0","0"
"ObjectId(""5974f6d5901f02080e004e08"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500839470906","114","0","0"
"ObjectId(""5974f6d5901f02f40d004ae5"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500837220696","110","0","0"
"ObjectId(""5974f6d5901f020c0e004af8"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500837803550","101","0","0"
"ObjectId(""5974f6d5901f02140e004e11"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500832472163","99","0","0"
"ObjectId(""5974f6d6901f024c0e006b5b"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500839303994","101","0","0"
"ObjectId(""5974f6d6901f02480e0023c4"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500832574563","109","0","0"
"ObjectId(""5974f6d6901f023c0e0039d5"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500836903162","101","0","0"
"ObjectId(""5974f6d6901f02e00d004cdc"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500835172838","99","0","0"
"ObjectId(""5974f6d6901f022c0e008436"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500834502449","101","0","0"
"ObjectId(""5974f6d6901f02ec0d004e18"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500833972572","99","0","0"
"ObjectId(""5974f6d6901f02140e004e12"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500837203226","101","0","0"
"ObjectId(""5974f6d7901f02180e002d42"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500837873478","99","0","0"
"ObjectId(""5974f6d7901f02e00d004cdd"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500835402686","101","0","0"
"ObjectId(""5974f6d7901f020c0e004afc"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500835102592","101","0","0"
"ObjectId(""5974f6d7901f02f00d005188"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500836973269","99","0","0"
"ObjectId(""5974f6d7901f02e00d004cde"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500835702821","101","0","0"
"ObjectId(""5974f6d7901f023c0e0039da"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500834872770","99","0","0"
"ObjectId(""5974f6d8901f02ec0d004e1c"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500832702112","101","0","0"
"ObjectId(""5974f6d8901f02000e004dba"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500835773078","99","0","0"
"ObjectId(""5974f6d8901f02e00d004cdf"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500838403821","101","0","0"
"ObjectId(""5974f6d8901f02140e004e16"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500837273405","99","0","0"
"ObjectId(""5974f6d8901f022c0e00843b"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500834202388","101","0","0"
"ObjectId(""5974f6d8901f02500e0059b0"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500832772251","99","0","0"
"ObjectId(""5974f6d9901f02140e004e17"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500836302960","101","0","0"
"ObjectId(""5974f6d9901f020c0e004b02"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500836373166","99","0","0"
"ObjectId(""5974f6d9901f02080e004e0c"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500832402013","101","0","0"
"ObjectId(""5974f6d9901f02e00d004ce2"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500838473650","99","0","0"
"ObjectId(""5974f6d9901f02dc0d0051fb"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500833002127","101","0","0"
"ObjectId(""5974f6d9901f023c0e0039df"")","ISODate(""2017-07-24T03:19:00.000+08:00"")","1500835472925","99","0","0"
